company,position,connected_on,user
Home365 Property Management,Principal Product Manager,2023-02-14,Camilo
Canter,Founder & Principal,2023-02-07,Camilo
American Express,Finance Manager,2023-02-07,Camilo
Zutto Technologies,Director de nuevos proyectos,2023-02-06,Camilo
Amateur Fund,Investor,2023-02-05,Camilo
KPMG US,Manager,2023-02-04,Camilo
.406 Ventures,Venture Capital Student Fellow,2023-02-02,Camilo
Suntory PepsiCo Beverage (Thailand),Financial Analysis Manager,2023-02-02,Camilo
Arrived,Co-founder | COO at Arrived,2023-02-02,Camilo
Coordinadora de Tanques SAS,Director Of Customer Service,2023-02-01,Camilo
Babson College,Graduate Admissions Assistant,2023-02-01,Camilo
POLYTECH-IRKUT LLC,"CTO, Co-Founder",2023-02-01,Camilo
K K Builders,Manager - Business Operations,2023-02-01,Camilo
Babson College,Associate Professor of Strategy,2023-02-01,Camilo
Babson College,MBA Candidate,2023-01-31,Camilo
Grove Capital ,Co-Founder,2023-01-30,Camilo
Demarka S.A.,Director Ejecutivo ,2023-01-30,Camilo
LendingClub,Senior Product Manager - Savings & CDs,2023-01-29,Camilo
MAA ANNAPURNA TRANSPORT AGENCY PRIVATE LIMITED,Senior Strategy Associate,2023-01-28,Camilo
Rodriguez Nocetti SRL,Co-Founder,2023-01-26,Camilo
Triyam,Chief Executive Officer,2023-01-26,Camilo
Commercial International Bank (CIB),Project Finance and Syndication Associate,2023-01-25,Camilo
Good Year Red Barrera,Vendedor,2023-01-25,Camilo
Babson College,MBA Candidate,2023-01-23,Camilo
ACHS,Jefe de proyectos Lean y Mejora Continua,2023-01-23,Camilo
AgroUrbana,Co-Founder and CEO,2023-01-23,Camilo
Matetic Vineyards,Export Manager Europe,2023-01-22,Camilo
Google,Recruiter,2023-01-20,Camilo
Cheil India,Associate Account Director,2023-01-19,Camilo
Spuds MacKenzie,Board Member,2023-01-19,Camilo
auxi,Chief Executive Officer,2023-01-19,Camilo
Nestlé,Consumer Marketing Manager Nescafé & Starbucks ,2023-01-19,Camilo
Banchile Inversiones,Head of Real Assets,2023-01-13,Camilo
GPS Property,Jefe área agrícola,2023-01-10,Camilo
