company,position,connected_on
Amazon,"Vice President, Head of Commercial, Public, and Strategic Sectors Amazon Business Worldwide",2023-02-16
PT. Pegadaian (Persero),Senior Manager of Product Management,2023-02-15
Management Consulted,Management Consultant,2023-02-15
Hydra Trading,CEO/Founder,2023-02-15
Babson F.W. Olin Graduate School of Business,MBA Candidate,2023-02-14
Babson Consulting Club (BCC),Vice President of Marketing,2023-02-14
Grupo AJE,"Global Portfolio Manager - new business for Asia, Africa, Latin America",2023-02-14
Veoneer,Global Product Line Owner - Radar,2023-02-14
Morgan Stanley,Institutional Equity Analyst,2023-02-14
Moors & Cabot,Operations Associate,2023-02-13
Raytheon Intelligence & Space,"Program Management, Raytheon BBN Ventures",2023-02-13
Anchor Capital Advisors LLC,Chief Investment Officer and Portfolio Manager,2023-02-13
Swadesh (YC S19),Growth ,2023-02-13
CDO LATAM,CDO LATAM Asociado,2023-02-12
Hewlett Packard Enterprise,Aruba Education & Telecommunication Territory Manager ,2023-02-12
T-Hub Hyderabad,"Analyst, Strategy and Partnerships ",2023-02-12
Harvard's Belfer Center,Web3/Blockchain Researcher ,2023-02-12
Tsuta Japanese Soba Noodles,Business Owner,2023-02-12
Sunwealth,Senior Manager of Investor Development,2023-02-12
State of Wisconsin Investment Board,Head of Strategy - Funds Alpha,2023-02-10
Fifth Third Bank,"Chief Economist, Fifth Third Commercial Bank",2023-02-10
Hult International Business School,Enrollment Intern,2023-02-10
HelloGuru,Co-Founder,2023-02-09
Coble Builders,Assistant Senior Project Manager,2023-02-09
Babson F.W. Olin Graduate School of Business,MBA Candidate,2023-02-07
PPG,"Data Analyst, Digital Business Services, PPG Automotive Refinish",2023-02-05
Babson College,Masters Student,2023-02-04
Babson College,Student Researcher,2023-02-03
Sagar and Associates,Business Analyst,2023-02-03
Norvanda Healthcare,Business Development Sr. Manager,2023-02-03
PwC Deutschland,Specialist | Public Sector Consulting,2023-02-02
IOI Ventures - Integrity Over Income,Key Account Sales Manager,2023-01-30
Steam Logistics,Domestic Sales Coordinator,2023-01-30
Protiviti,Consultant,2023-01-30
Emphysema Foundation of America,Senior Director of Development,2023-01-28
Babson College,Strategic Data Analyst,2023-01-28
OSSE - Oficina de Soluciones y Servicios Empresariales,Odoo Partner Oficial en Perú - Certificado,2023-01-27
Babson College,Assistant Professor of Information Technology,2023-01-27
Harvard Graduate School of Education,Senior Digital Communications Lead,2023-01-26
Babson College,Student Program Coordinator,2023-01-25
Robertshaw,R&D Engineering Director,2023-01-24
European Leadership,CEO & Founder,2023-01-24
Krishan Equity and Capital Services Pvt.Ltd,Portfolio Management Associate,2023-01-24
Aireko Services & Installations,Assistant Project Manager,2023-01-22
Babson College,Student,2023-01-22
IBM,"Data, AI & Automation Partner Specialist",2023-01-19
"CERO Cooperative, Inc. ",Sales Team Manager,2023-01-19
Publishd,Co-founder & COO,2023-01-18
Niubiz,Chief Executive Officer,2023-01-12
Viva Republica (Toss),Talent Engagement Partner,2023-01-11
Social Venture Connexion (SVX),Project support,2023-01-06
PayJoy,Country Manager,2023-01-06
Prestamype,CEO,2023-01-06
VIE TEC,Business Development Manager,2023-01-04
Rextie,CEO & Co-founder,2023-01-03
Multibanco Perú SAC,Gerente general,2023-01-03
Teradata,Principal Data Scientist - Center of Excellence Americas,2023-01-02
Cvent,Web Developer,2022-12-24
YPO ALPINE,Member,2022-12-19
Babson College,Assistant Professor of Practice - Finance Division,2022-12-17
Babson College,Senior International Student and Scholar Advisor,2022-12-13
SatoshiTango,Head Of Operations,2022-12-12
POSHI,Product Marketing Manager,2022-12-05
BNI Capac Ñan,Presidente,2022-12-03
Vyral Agency,Founder and CEO,2022-12-02
Babson College,Graduate Admissions Assistant,2022-11-30
McKinsey & Company,Analyst,2022-11-29
BE:SEC,Consultor Senior de Ciberseguridad,2022-11-25
GoDolar,Founder,2022-11-24
ITM Power (LSE: ITM.L),Asstt. Head of Product Development,2022-11-22
Babson F.W. Olin Graduate School of Business,"MBA Candidate, Babson F.W. Olin Graduate School of Buisiness",2022-11-22
Exchange Net Peru SRL,Fundador Fintechs: Cambista.com & Perucash.com,2022-11-22
Latin Leap,General Partner,2022-11-22
AgenteBTC,Chief Executive Officer & Founder,2022-11-22
SatoshiTango,Country Manager Chile/Perú,2022-11-22
Accenture,Management Consulting Analyst,2022-11-21
Nested Bean Inc.,Digital Marketing Intern - Paid Search,2022-11-21
Babson College,Games Supervisor,2022-11-20
Magick Woods Exports Private Limited,"Manager, Sales & Marketing, North American Region",2022-11-20
Crowninshield Financial Research,Analyst,2022-11-19
Babson F.W. Olin Graduate School of Business,MBA Candidate 2024 - Business Analytics & Machine Learning (STEM),2022-11-19
SLB,Software Engineer,2022-11-19
SAMARTH SAI LOGISTICS PRIVATE LIMITED,Finance & Strategy Associate ,2022-11-19
Marwadi Shares and Finance Ltd.,Research Advisory Intern,2022-11-19
Babson F.W. Olin Graduate School of Business,MBA Candidate,2022-11-18
Federal Reserve Bank of Minneapolis,Research Analyst,2022-11-18
Braskem,Global Digital Strategy and Portfolio Management,2022-11-18
Crowninshield Financial Research,Summer Financial Analyst,2022-11-18
State Street,Private Markets Product Development & Business Implementation Intern,2022-11-18
Open English,B2B Email Marketing Manager ,2022-11-18
Atlantic City Casino & Sports,Service Design Senior Analyst,2022-11-18
Babson F.W. Olin Graduate School of Business,Graduate Assistant,2022-11-18
Wecover Platforms,Chief Financial Officer,2022-11-17
Applause,Sales Enablement/Sales Operations Intern,2022-11-16
Antaeus Travel Group,Managing Director,2022-11-15
Babson F.W. Olin Graduate School of Business,MBA Candidate,2022-11-14
Airpals Courier,Business Strategist Intern,2022-11-14
Babson College,Graduate Admissions Event Assistant,2022-11-12
Simpson Thacher & Bartlett LLP,Associate,2022-11-11
Universidad Nacional de Ingeniería,Profesor de maestría,2022-11-11
JAKU EMPRENDE UNSA,Miembro del comité consultivo,2022-11-09
"Media Shower, Inc.",CEO,2022-11-08
McManus Financial Group,Managing Partner,2022-11-07
BXB Capital,Co-Founder,2022-11-04
NTT DATA Europe & Latam,Agility & Digital Transformation Lead Coach and DevOps & QA Program Manager,2022-11-03
Stephen D. Cutler Center for Investments and Finance,"Marketing & Events Manager, Stephen D. Cutler Center for Investments and Finance at Babson College",2022-11-02
Studio Gütig,Product Strategy Manager,2022-11-02
Advent International,Director,2022-11-01
F-Prime Capital,Investor,2022-10-28
Summit Partners,Chief Financial Officer,2022-10-27
Babson College,Professor of Marketing,2022-10-18
Caraballo Accounting,Managing Director,2022-10-16
Meshlink,Co-Founder and CEO,2022-10-14
"B.A.I. Biosciences, Inc.","Director, Formulation Sciences and Product Development",2022-10-14
FintechLab ,Cofounder & CFO,2022-10-13
Buda.com,Country Manager Peru,2022-10-12
Talkwalker,Regional Marketing Head US & Latam,2022-10-11
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Supervisión del Sistema Financiero,2022-10-10
Universidad del Pacífico (PE),Director del Laboratorio de Innovación Legal,2022-10-07
Babson F.W. Olin Graduate School of Business,Graduate Center Assistant (GA),2022-10-07
Chewy,Technical Product Manager,2022-10-05
Putnam Investments,Administrative Assistant,2022-10-04
Homegrown Holdings,Founder/Owner,2022-10-01
Eastern Europe Studies Centre,Advisor,2022-09-30
MassChallenge,People Strategy Manager,2022-09-29
Zero Hash,Principal Product Manager,2022-09-29
Solidity Labs,Chief Operating Officer,2022-09-29
DCU FinTech Innovation Center,Managing Director,2022-09-29
WiBlock,Founder,2022-09-28
Kite,Co-Founder,2022-09-28
Symbiont,Chief Marketing & Communications Officer,2022-09-28
Eastern Bank,AVP - Women and/or Minority Business Enterprise Banking Relationship Manager II,2022-09-28
Eastern Bank,"Senior Vice President, Team Leader WMBE",2022-09-28
Physis Investment,Manager - Business Development and Sales,2022-09-28
Cinnamon,Managing Partner,2022-09-28
DotContract,Research Development Lead,2022-09-28
FS Vector,Senior Advisor,2022-09-27
Ground Squirrel Ventures,Portfolio Lead - Emerging Markets,2022-09-27
Publishd,Co-founder & CEO,2022-09-27
Advisor360°,Corporate Recruiter,2022-09-27
Justworks,Sales Manager,2022-09-27
MassMutual,Sourcing - Technology ,2022-09-27
Mass Fintech Hub ,Program Director,2022-09-26
Ecollegiate,IT Manager,2022-09-26
Raid the Room,Software Engineer,2022-09-25
"BankTech Ventures, LP",Venture Intern,2022-09-25
Amazon,Senior Technical Product Manager - Alexa AI,2022-09-24
Massachusetts Institute of Technology,Graduate Teaching Assistant (TA) - Lean Operations | Classical Mechanics | Electromagnetism ,2022-09-24
Centers for Disease Control and Prevention,Practicum Student,2022-09-24
Arnot Health,Emergency Medical Assistant,2022-09-23
180 Degrees Consulting,Student Consultant,2022-09-23
Mendoza Ventures,Partner,2022-09-23
Rones y Bebidas del Caribe - Yazoo,Associate Commercial Director,2022-09-21
Babson Marketing Club,President,2022-09-19
"K&W Global Technology (Thailand) Co.,Ltd",Marketing Manager,2022-09-17
Zuleta Abogados Asociados,Asociado,2022-09-16
Universidad de Lima,Docente a tiempo parcial,2022-09-15
Amazon,Senior Product Manager Intern,2022-09-11
HARMAN International,Senior Product Engineer,2022-09-11
Allianz Technology,Senior Consultant,2022-09-08
Babson F.W. Olin Graduate School of Business,MBA Candidate at Babson F.W. Olin Graduate School of Business,2022-09-07
"Check Point Software Technologies, Ltd.",Security Engineer,2022-09-07
Pomelo,Integration Engineer Sr.,2022-09-07
The Colony Group,Senior Portfolio Manager,2022-09-06
Upkey,Business Development Intern,2022-09-06
Turner Construction Company,Project Manager,2022-09-06
Barros & Errázuriz Abogados,M&A & Corporate Group Associate ,2022-09-05
American Express,Marketing Manager,2022-09-04
Granite Telecommunications,Product Analyst,2022-09-04
RIFAST Systems,Business Intelligence,2022-09-04
K. K. Nag Pvt. Ltd,General Manager,2022-09-03
Why It Matters,Host,2022-09-02
ULedger,Product Manager,2022-09-02
Babson F.W. Olin Graduate School of Business,MBA Candidate,2022-09-01
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Supervisor del Sistema Financiero II,2022-09-01
BioRICS,"Management Consultant, as part of academically sponsored team-based project",2022-09-01
MegaFood,Brand Manager of Innovation,2022-09-01
Siemens Digital Industries Software,Digital Marketing Strategy Specialist,2022-09-01
WS Development,Summer Intern,2022-09-01
Equiteq,Investment Banking Analyst,2022-09-01
"Cambridge Centre for Alternative Finance, Cambridge Judge Business School",SupTech Specialist | Cambridge SupTech Lab,2022-09-01
